Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID,Year
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Opening (A),3311.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Opening (B),3312.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Semifinals,3519.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Winner's (A),3313.0,2021
Champions Tour Europe Stage 1: Masters,334,Main Event,691.0,Winner's (B),3314.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 2: Challengers 1,374,Main Event,776.0,Grand Finals,3714.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Main Event,776.0,Quarterfinals,3712.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Main Event,776.0,Semifinals,3713.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Open Qualifier,852.0,Round of 128,3730.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Open Qualifier,852.0,Round of 256,3729.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Qualifier Play-In,775.0,Quarterfinals (Seeding),3747.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Qualifier Play-In,775.0,Round of 16,3710.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Qualifier Playoffs,774.0,Round of 32,3733.0,2021
Champions Tour Europe Stage 2: Challengers 1,374,Qualifier Playoffs,774.0,Round of 64,3732.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 2: Challengers 2,375,Main Event,780.0,Grand Finals,4008.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Main Event,780.0,Quarterfinals,4006.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Main Event,780.0,Semifinals,4007.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Open Qualifier,777.0,Round of 128,3914.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Open Qualifier,777.0,Round of 256,3913.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Qualifier Play-In,779.0,Quarterfinals (Seeding),3954.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Qualifier Play-In,779.0,Round of 16,3953.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Qualifier Playoffs,778.0,Round of 32,3942.0,2021
Champions Tour Europe Stage 2: Challengers 2,375,Qualifier Playoffs,778.0,Round of 64,3941.0,2021
Champions Tour Europe Stage 3: Challengers 1,541,All Stages,,All Match Types,,2021
Champions Tour Europe Stage 3: Challengers 1,541,Closed Qualifier,1056.0,Lower Round 1,5618.0,2021
Champions Tour Europe Stage 3: Challengers 1,541,Closed Qualifier,1056.0,Lower Round 2,5619.0,2021
Champions Tour Europe Stage 3: Challengers 1,541,Closed Qualifier,1056.0,Upper Quarterfinals,5617.0,2021
Champions Tour Europe Stage 3: Challengers 1,541,Closed Qualifier,1056.0,Upper Round of 16,5616.0,2021
