Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,breach,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,omen,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,viper,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,sova,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,jett,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,killjoy,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,brimstone,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,fade,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,harbor,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,sage,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,neon,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,phoenix,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,kayo,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,reyna,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,iso,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,gekko,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,deadlock,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,chamber,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Pearl,yoru,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,jett,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,skye,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,killjoy,75%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,astra,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,sova,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,omen,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,viper,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,breach,25%
