Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,FNATIC,$$$ (won),21,13
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,ZETA DIVISION,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,ZETA DIVISION,Eco (won),7,0
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,ZETA DIVISION,$ (won),4,1
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,ZETA DIVISION,$$ (won),9,3
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,All Maps,ZETA DIVISION,$$$ (won),17,7
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,Evil Geniuses,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,Evil Geniuses,Eco (won),3,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,Evil Geniuses,$ (won),3,0
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,Evil Geniuses,$$ (won),3,3
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,Evil Geniuses,$$$ (won),19,11
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,FUT Esports,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,FUT Esports,Eco (won),3,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,FUT Esports,$ (won),3,0
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,FUT Esports,$$ (won),3,2
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,FUT Esports,$$$ (won),19,10
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,Evil Geniuses,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,Evil Geniuses,Eco (won),2,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,Evil Geniuses,$ (won),1,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,Evil Geniuses,$$ (won),6,4
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,Evil Geniuses,$$$ (won),13,7
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,FUT Esports,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,FUT Esports,Eco (won),4,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,FUT Esports,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,FUT Esports,$$ (won),5,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,FUT Esports,$$$ (won),12,7
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,Evil Geniuses,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,Evil Geniuses,Eco (won),5,2
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,Evil Geniuses,$ (won),4,1
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,Evil Geniuses,$$ (won),9,7
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,Evil Geniuses,$$$ (won),32,18
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,FUT Esports,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,FUT Esports,Eco (won),7,2
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,FUT Esports,$ (won),4,0
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,FUT Esports,$$ (won),8,3
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,All Maps,FUT Esports,$$$ (won),31,17
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,Paper Rex,Pistol Won,,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,Paper Rex,Eco (won),4,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,Paper Rex,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,Paper Rex,$$ (won),3,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,Paper Rex,$$$ (won),13,10
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,KRÜ Esports,Pistol Won,,2
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,KRÜ Esports,Eco (won),2,2
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,KRÜ Esports,$ (won),3,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,KRÜ Esports,$$ (won),4,2
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,KRÜ Esports,$$$ (won),11,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,Paper Rex,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,Paper Rex,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,Paper Rex,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,Paper Rex,$$ (won),3,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,Paper Rex,$$$ (won),15,9
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,KRÜ Esports,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,KRÜ Esports,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,KRÜ Esports,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,KRÜ Esports,$$ (won),5,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,KRÜ Esports,$$$ (won),11,6
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,Paper Rex,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,Paper Rex,Eco (won),7,1
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,Paper Rex,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,Paper Rex,$$ (won),6,6
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,Paper Rex,$$$ (won),28,19
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,KRÜ Esports,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,KRÜ Esports,Eco (won),5,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,KRÜ Esports,$ (won),5,0
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,KRÜ Esports,$$ (won),9,3
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,All Maps,KRÜ Esports,$$$ (won),22,9
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,$ (won),3,0
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,$$ (won),4,3
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,EDward Gaming,$$$ (won),18,9
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,Giants Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,Giants Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,Giants Gaming,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,Giants Gaming,$$ (won),8,4
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,Giants Gaming,$$$ (won),17,10
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,EDward Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,EDward Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,EDward Gaming,$ (won),2,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,EDward Gaming,$$ (won),4,2
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,EDward Gaming,$$$ (won),15,9
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,Giants Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,Giants Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,Giants Gaming,$ (won),2,0
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,Giants Gaming,$$ (won),9,5
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,Giants Gaming,$$$ (won),10,5
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,EDward Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,EDward Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,EDward Gaming,$ (won),0,0
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,EDward Gaming,$$ (won),5,5
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,EDward Gaming,$$$ (won),13,7
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,Giants Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,Giants Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,Giants Gaming,$ (won),2,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,Giants Gaming,$$ (won),8,2
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,Giants Gaming,$$$ (won),8,4
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,EDward Gaming,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,EDward Gaming,Eco (won),9,3
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,EDward Gaming,$ (won),5,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,EDward Gaming,$$ (won),13,10
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,EDward Gaming,$$$ (won),46,25
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,Giants Gaming,Pistol Won,,3
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,Giants Gaming,Eco (won),9,3
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,Giants Gaming,$ (won),4,1
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,Giants Gaming,$$ (won),25,11
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,All Maps,Giants Gaming,$$$ (won),35,19
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,FNATIC,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,FNATIC,Eco (won),2,2
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,FNATIC,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,FNATIC,$$ (won),6,5
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,FNATIC,$$$ (won),7,6
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,Bilibili Gaming,Pistol Won,,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,Bilibili Gaming,Eco (won),4,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,Bilibili Gaming,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,Bilibili Gaming,$$ (won),8,2
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,Bilibili Gaming,$$$ (won),2,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,FNATIC,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,FNATIC,Eco (won),2,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,FNATIC,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,FNATIC,$$ (won),11,6
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,FNATIC,$$$ (won),7,6
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,Bilibili Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,Bilibili Gaming,Eco (won),3,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,Bilibili Gaming,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,Bilibili Gaming,$$ (won),7,3
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,Bilibili Gaming,$$$ (won),10,4
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Pistol Won,,3
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,FNATIC,Eco (won),4,3
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,FNATIC,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,FNATIC,$$ (won),17,11
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,FNATIC,$$$ (won),14,12
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,Pistol Won,,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,Eco (won),7,1
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,$ (won),2,0
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,$$ (won),15,5
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,All Maps,Bilibili Gaming,$$$ (won),12,4
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,Team Liquid,Pistol Won,,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,Team Liquid,Eco (won),3,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,Team Liquid,$ (won),1,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,Team Liquid,$$ (won),6,2
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,Team Liquid,$$$ (won),5,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,LOUD,Pistol Won,,2
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,LOUD,Eco (won),2,2
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,LOUD,$ (won),0,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,LOUD,$$ (won),4,4
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,LOUD,$$$ (won),9,7
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,Team Liquid,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,Team Liquid,Eco (won),3,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,Team Liquid,$ (won),2,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,Team Liquid,$$ (won),6,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,Team Liquid,$$$ (won),10,5
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,LOUD,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,LOUD,Eco (won),3,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,LOUD,$ (won),0,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,LOUD,$$ (won),6,5
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,LOUD,$$$ (won),12,7
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,Team Liquid,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,Team Liquid,Eco (won),6,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,Team Liquid,$ (won),3,1
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,Team Liquid,$$ (won),12,3
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,Team Liquid,$$$ (won),15,5
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,LOUD,Pistol Won,,3
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,LOUD,Eco (won),5,3
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,LOUD,$ (won),0,0
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,LOUD,$$ (won),10,9
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,All Maps,LOUD,$$$ (won),21,14
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,FunPlus Phoenix,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,FunPlus Phoenix,Eco (won),3,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,FunPlus Phoenix,$ (won),1,0
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,FunPlus Phoenix,$$ (won),8,3
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,FunPlus Phoenix,$$$ (won),11,6
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,T1,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,T1,Eco (won),3,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,T1,$ (won),1,0
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,T1,$$ (won),6,3
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,T1,$$$ (won),13,9
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,FunPlus Phoenix,Pistol Won,,0
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,FunPlus Phoenix,Eco (won),4,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,FunPlus Phoenix,$ (won),2,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,FunPlus Phoenix,$$ (won),3,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,FunPlus Phoenix,$$$ (won),11,4
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,T1,Pistol Won,,2
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,T1,Eco (won),3,2
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,T1,$ (won),0,0
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,T1,$$ (won),6,3
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,T1,$$$ (won),11,8
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,FunPlus Phoenix,Pistol Won,,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,FunPlus Phoenix,Eco (won),7,2
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,FunPlus Phoenix,$ (won),3,1
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,FunPlus Phoenix,$$ (won),11,4
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,FunPlus Phoenix,$$$ (won),22,10
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,T1,Pistol Won,,3
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,T1,Eco (won),6,3
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,T1,$ (won),1,0
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,T1,$$ (won),12,6
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,All Maps,T1,$$$ (won),24,17
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,Paper Rex,Pistol Won,,2
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,Paper Rex,Eco (won),2,2
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,Paper Rex,$ (won),0,0
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,Paper Rex,$$ (won),8,8
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,Paper Rex,$$$ (won),10,3
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,EDward Gaming,Pistol Won,,0
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,EDward Gaming,Eco (won),4,0
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,EDward Gaming,$ (won),1,0
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,EDward Gaming,$$ (won),6,3
